,Open,High,Low,Close,Volume
2017-05-19 10:00:00,666.5,667.8,655.0,659.1,5857766
2017-05-22 10:00:00,663.2,666.8,657.6,663.0,4023718
2017-05-23 10:00:00,662.85,664.92,651.0,652.28,4216446
2017-05-24 10:00:00,653.8,656.8,647.6,649.5,6549608
2017-05-25 10:00:00,650.0,656.2,648.22,650.75,11850670
2017-05-26 10:00:00,651.98,672.2,650.0,669.5,9797278
2017-05-29 10:00:00,668.5,682.72,667.8,677.62,10982340
2017-05-30 10:00:00,678.0,682.4,674.2,680.0,4415454
2017-05-31 10:00:00,683.5,683.98,667.9,670.0,7508198
2017-06-01 10:00:00,666.35,670.0,661.5,664.92,4358656
2017-06-02 10:00:00,667.5,669.4,658.5,661.4,5255130
2017-06-05 10:00:00,663.12,670.5,657.92,665.0,4953412
2017-06-06 10:00:00,666.98,666.98,655.5,656.25,4384712
2017-06-07 10:00:00,655.6,671.0,654.5,669.5,5119908
2017-06-08 10:00:00,670.0,672.4,664.02,666.95,3613042
2017-06-09 10:00:00,672.55,676.48,665.5,666.48,6325604
2017-06-12 10:00:00,663.28,664.88,658.5,659.5,3855026
2017-06-13 10:00:00,660.3,663.5,655.5,656.0,2754582
2017-06-14 10:00:00,658.0,680.0,658.0,680.0,24202054
2017-06-15 10:00:00,680.0,697.5,679.55,688.68,12933608
2017-06-16 10:00:00,694.6,697.9,684.6,693.6,14954314
2017-06-19 10:00:00,695.1,707.9,695.1,703.5,6965824
2017-06-20 10:00:00,704.5,711.05,703.72,705.52,4636798
2017-06-21 10:00:00,703.9,714.0,702.12,713.88,9139886
2017-06-22 10:00:00,714.72,722.7,713.85,717.4,10111884
2017-06-23 10:00:00,718.0,721.0,715.3,716.0,14237664
2017-06-27 10:00:00,716.0,721.5,712.5,719.52,14899756
2017-06-28 10:00:00,719.98,719.98,697.78,699.9,7117076
2017-06-29 10:00:00,700.0,705.0,695.05,696.18,5896644
2017-06-30 10:00:00,696.0,696.2,687.52,691.5,3572422
2017-07-03 10:00:00,694.1,697.4,685.5,692.0,4203772
2017-07-04 10:00:00,695.0,713.6,694.5,711.0,8602400
2017-07-05 10:00:00,714.72,723.72,712.0,720.02,12439044
2017-07-06 10:00:00,724.4,725.0,719.0,721.0,6213034
2017-07-07 10:00:00,721.5,748.88,720.0,744.75,16387270
2017-07-10 10:00:00,765.0,775.0,744.6,745.5,1630866
2017-07-11 10:00:00,750.5,752.2,743.5,748.2,9598458
2017-07-12 10:00:00,749.7,762.5,748.75,755.62,7819594
2017-07-13 10:00:00,754.38,762.5,753.08,759.3,10519518
2017-07-14 10:00:00,760.0,768.0,757.78,766.5,9386022
2017-07-17 10:00:00,768.5,779.8,768.5,774.4,8571618
2017-07-18 10:00:00,773.4,775.9,755.5,760.2,8978824
2017-07-19 10:00:00,756.3,769.0,756.3,769.0,5390082
2017-07-20 10:00:00,769.88,775.0,761.85,763.05,6229372
2017-07-21 10:00:00,775.0,795.85,772.48,792.0,44410224
2017-07-24 10:00:00,800.0,812.4,792.5,809.5,19854458
2017-07-25 10:00:00,812.35,812.48,798.8,801.25,9172158
2017-07-26 10:00:00,802.1,814.95,800.55,810.58,10036778
2017-07-27 10:00:00,814.0,815.75,794.18,796.4,8416142
2017-07-28 10:00:00,795.62,802.98,789.0,797.0,6552046
2017-07-31 10:00:00,800.98,809.4,798.0,807.72,7574068
2017-08-01 10:00:00,811.38,811.38,795.75,802.9,5628596
2017-08-02 10:00:00,805.0,817.8,804.0,812.6,9502770
2017-08-03 10:00:00,813.42,832.45,808.52,827.0,9009552
2017-08-04 10:00:00,831.5,831.5,807.6,813.2,8494090
2017-08-07 10:00:00,815.8,815.8,806.28,809.0,4360036
2017-08-08 10:00:00,809.0,810.52,793.4,802.3,5011136
2017-08-09 10:00:00,800.8,810.0,792.5,797.5,4771286
2017-08-10 10:00:00,796.52,803.32,788.98,796.88,4657686
2017-08-11 10:00:00,775.48,790.0,766.5,772.75,7770128
2017-08-14 10:00:00,780.5,792.2,780.5,786.1,6144598
2017-08-16 10:00:00,786.0,788.0,775.1,788.0,6206788
2017-08-17 10:00:00,784.5,798.82,780.58,781.5,7236358
2017-08-18 10:00:00,782.0,788.9,776.58,788.12,3628022
2017-08-21 10:00:00,788.5,792.08,780.12,782.15,3462376
2017-08-22 10:00:00,786.0,789.95,778.02,780.05,4358460
2017-08-23 10:00:00,782.42,793.28,776.58,791.28,3803648
2017-08-24 10:00:00,795.0,796.6,782.2,785.0,5785142
2017-08-28 10:00:00,789.52,790.98,780.6,782.38,5630656
2017-08-29 10:00:00,780.92,783.75,765.0,766.02,6932842
2017-08-30 10:00:00,773.78,784.4,770.62,781.75,4724774
2017-08-31 10:00:00,787.5,798.72,787.0,797.7,11476990
2017-09-01 10:00:00,799.92,808.3,799.5,805.98,7054954
2017-09-04 10:00:00,807.75,818.08,797.92,807.5,9856750
2017-09-05 10:00:00,815.0,817.42,810.52,816.08,11528262
2017-09-06 10:00:00,813.2,826.2,811.4,822.0,22285024
2017-09-07 10:00:00,823.0,832.5,815.0,816.6,7408536
2017-09-08 10:00:00,820.0,823.25,812.1,816.95,6056729
2017-09-11 10:00:00,821.3,826.85,816.55,819.5,5801712
2017-09-12 10:00:00,822.75,825.0,817.0,824.5,2971669
2017-09-13 10:00:00,824.0,859.9,822.0,853.4,13430225
2017-09-14 10:00:00,855.8,861.5,842.0,844.2,5425486
2017-09-15 10:00:00,842.0,852.85,834.75,842.0,13072853
2017-09-18 10:00:00,850.0,851.05,843.1,845.2,2314174
2017-09-19 10:00:00,848.7,848.75,837.0,839.0,3528729
2017-09-20 10:00:00,856.1,872.5,845.1,848.0,11402965
2017-09-21 10:00:00,847.0,851.7,836.25,842.95,5920552
2017-09-22 10:00:00,839.9,839.9,813.2,816.95,5620443
2017-09-25 10:00:00,815.0,827.95,805.2,821.0,6505309
2017-09-26 10:00:00,821.7,827.05,812.2,819.2,4829571
2017-09-27 10:00:00,825.6,825.7,795.5,798.4,8434196
2017-09-28 10:00:00,799.65,802.9,780.2,786.25,13508179
2017-09-29 10:00:00,791.75,793.4,779.1,781.2,7619230
2017-10-03 10:00:00,795.0,803.85,785.35,799.0,8387059
2017-10-04 10:00:00,799.2,824.95,795.6,824.0,8643924
2017-10-05 10:00:00,825.0,828.45,818.65,824.0,4860479
2017-10-06 10:00:00,824.0,839.35,822.6,838.2,5942106
2017-10-09 10:00:00,839.0,839.8,828.0,829.25,4046109
2017-10-10 10:00:00,831.0,847.3,831.0,842.25,6734986
2017-10-11 10:00:00,845.3,858.4,836.0,839.0,7049800
2017-10-12 10:00:00,842.1,876.8,842.1,875.6,8522926
2017-10-13 10:00:00,879.3,890.7,873.35,877.35,9833512
2017-10-16 10:00:00,879.0,892.0,861.3,877.5,14633539
2017-10-17 13:30:00,878.0,884.0,867.2,874.8,6354084
2017-10-18 10:00:00,877.4,917.9,875.0,916.4,16765178
2017-10-19 14:20:00,915.8,921.9,903.0,904.0,3664082
2017-10-23 10:00:00,912.9,944.7,909.1,940.1,12551649
2017-10-24 10:00:00,947.7,947.7,928.2,936.2,6335308
2017-10-25 10:00:00,940.1,945.9,929.5,939.3,4577050
2017-10-26 10:00:00,940.0,957.8,931.0,945.3,7698704
2017-10-27 10:00:00,950.0,956.7,925.7,930.95,5256749
2017-10-30 10:00:00,934.0,945.55,930.6,945.35,3576533
2017-10-31 10:00:00,944.95,945.75,932.2,944.05,4345360
2017-11-01 10:00:00,947.75,957.8,945.75,952.35,8033040
2017-11-02 10:00:00,952.8,956.5,944.25,946.8,4698609
2017-11-03 10:00:00,955.95,955.95,940.15,945.95,2193730
2017-11-06 10:00:00,942.5,942.5,929.0,931.35,4460799
2017-11-07 10:00:00,933.35,935.0,903.05,906.5,9347943
2017-11-08 10:00:00,902.5,906.0,884.1,889.5,8115980
2017-11-09 10:00:00,894.75,909.9,892.05,902.9,6860798
2017-11-10 10:00:00,900.95,900.95,879.2,884.9,6365174
2017-11-13 10:00:00,885.0,891.9,873.5,874.9,4155011
2017-11-14 10:00:00,875.0,895.0,873.0,887.5,5706105
2017-11-15 10:00:00,884.5,890.6,877.95,883.25,6981872
2017-11-16 10:00:00,885.5,906.0,885.5,905.25,6931038
2017-11-17 10:00:00,918.95,924.9,908.5,913.0,5586242
2017-11-20 10:00:00,906.2,924.35,905.0,919.0,4220192
2017-11-21 10:00:00,926.8,939.65,925.5,932.05,5980763
2017-11-22 10:00:00,937.45,938.65,923.45,934.1,5055490
2017-11-23 10:00:00,931.0,949.9,926.65,949.7,7329126
2017-11-24 10:00:00,950.0,959.5,947.4,951.25,6394443
2017-11-27 10:00:00,947.25,957.5,944.0,952.5,4680074
2017-11-28 10:00:00,949.85,951.35,938.1,942.4,4641893
2017-11-29 10:00:00,941.85,950.0,941.0,943.45,3674864
2017-11-30 10:00:00,941.45,941.45,919.5,922.5,9434893
